Customer_ID,Churn_Probability,Predicted_CLV,Priority_Label,Segment
6900-PXRMS,0.9666390986964499,2797.854900000001,Immediate Save,Established Standard Customers
2845-AFFTX,0.9663858671091328,5109.123099999997,Immediate Save,Loyal Premium Customers
3473-XIIIT,0.9634638265648507,2156.115999999998,Immediate Save,Established Standard Customers
5995-SNNEW,0.9611137567150929,3293.803699999996,Immediate Save,Established Standard Customers
9189-JWSHV,0.9582529364355015,2619.791700000001,Immediate Save,Established Standard Customers
4021-RQSNY,0.9567508815113435,3692.034199999994,Immediate Save,Established Standard Customers
5385-SUIRI,0.9543597862607729,7417.738600000007,Immediate Save,Loyal Premium Customers
3565-UNOCC,0.9537712783420763,3495.4498,Immediate Save,Loyal Premium Customers
7029-RPUAV,0.9528521031645025,2119.954400000001,Immediate Save,Established Standard Customers
9647-ERGBE,0.9527183352149462,4249.677299999998,Immediate Save,Loyal Premium Customers
1833-TCXKK,0.9524887959665741,6229.555500000001,Immediate Save,Loyal Premium Customers
7658-UYUQS,0.9509749703996611,2290.776199999997,Immediate Save,Established Standard Customers
9253-QXKBE,0.9500031423095485,2854.5918999999994,Immediate Save,Established Standard Customers
2840-XANRC,0.9499789349611696,2649.314900000004,Immediate Save,Established Standard Customers
0397-GZBBC,0.9497171709490089,6245.052600000006,Immediate Save,Loyal Premium Customers
3791-LGQCY,0.9495588834151175,7646.683900000004,Immediate Save,Loyal Premium Customers
3096-GKWEB,0.9478356816833122,2293.029499999998,Immediate Save,Established Standard Customers
6319-IEJWJ,0.945440323468606,2783.6987000000017,Immediate Save,Established Standard Customers
5244-IRFIH,0.9453177639035857,4068.0380999999984,Immediate Save,Established Standard Customers
8111-SLLHI,0.9447149037082281,5418.647399999998,Immediate Save,Loyal Premium Customers
5480-TBGPH,0.9443502524668471,3475.868100000005,Immediate Save,Loyal Premium Customers
3838-OZURD,0.9442318110038751,7552.314699999997,Immediate Save,Loyal Premium Customers
1587-FKLZB,0.9408218233394724,8473.804200000002,Immediate Save,Loyal Premium Customers
5331-RGMTT,0.9403130718361983,7446.863399999997,Immediate Save,Loyal Premium Customers
4289-DTDKW,0.9402711221946932,4999.094999999999,Immediate Save,Loyal Premium Customers
5307-DZCVC,0.9401375198797739,4217.4495,Immediate Save,Established Standard Customers
5955-ERIHD,0.9395147013799132,2253.0884999999967,Immediate Save,Established Standard Customers
8290-YWKHZ,0.9391897875935333,4041.583499999995,Immediate Save,Established Standard Customers
4433-JCGCG,0.9369518658935109,4955.530999999993,Immediate Save,Loyal Premium Customers
4039-HEUNW,0.9364746920701735,4010.501799999998,Immediate Save,Loyal Premium Customers
3003-CMDUU,0.9362327932715534,3163.1138000000037,Immediate Save,Established Standard Customers
8436-BJUMM,0.9362031866927066,3054.6329000000005,Immediate Save,Established Standard Customers
8634-MPHTR,0.9358876808408455,5217.772900000005,Immediate Save,Loyal Premium Customers
0324-BRPCJ,0.9351873530078527,8347.349799999998,Immediate Save,Loyal Premium Customers
5647-FXOTP,0.9344642056170409,8603.339500000006,Immediate Save,Loyal Premium Customers
3312-ZWLGF,0.9344419554281111,2621.2067000000006,Immediate Save,Established Standard Customers
6393-WRYZE,0.9331935469337773,4702.828300000004,Immediate Save,Loyal Premium Customers
